source,source_url,saved_filename,bytes,content_type
B_td,https://products.rubezh.ru/upload/iblock/83b/3sy1qjcom8kvz4ofjoquqca4m42zcyky/8be17474_8d5c_11ec_80dc_48df3707765d_5ac81003_c49d_11ec_80dd_48df3707765d.png,8be17474_8d5c_11ec_80dc_48df3707765d_5ac81003_c49d_11ec_80dd_48df3707765d.png,214534,image/png
B_td,https://products.rubezh.ru/upload/iblock/85b/lr392nb376amofuldik1isaxnjhepzy2/39f55d04_8b18_11ec_80db_48df3707765d_191db7f7_c49b_11ec_80dd_48df3707765d.png,39f55d04_8b18_11ec_80db_48df3707765d_191db7f7_c49b_11ec_80dd_48df3707765d.png,214098,image/png
B_td,https://products.rubezh.ru/upload/iblock/98e/irn2klx1h5sob1lq0dtsu20j5twbkpat/30401b1c_4648_11ea_80d1_48df3707765d_fb404b38_a9d6_11ec_80dd_48df3707765d.png,30401b1c_4648_11ea_80d1_48df3707765d_fb404b38_a9d6_11ec_80dd_48df3707765d.png,253464,image/png
B_td,https://products.rubezh.ru/upload/iblock/a04/tr81fodiigtj2c4thussj3bum2peod0h/5a9f025e_8d5d_11ec_80dc_48df3707765d_f8b1a3e1_c49d_11ec_80dd_48df3707765d.png,5a9f025e_8d5d_11ec_80dc_48df3707765d_f8b1a3e1_c49d_11ec_80dd_48df3707765d.png,191481,image/png
B_td,https://products.rubezh.ru/upload/iblock/b30/vxxwjsv6q38wyxsdlycplmlmaotd69f2/46adeaf0_8b10_11ec_80db_48df3707765d_0e79c46d_c4a0_11ec_80dd_48df3707765d.png,46adeaf0_8b10_11ec_80db_48df3707765d_0e79c46d_c4a0_11ec_80dd_48df3707765d.png,140941,image/png
B_td,https://products.rubezh.ru/upload/iblock/be5/hdlzwoce9le664m9a4l68432lwt9jnx5/432fbe58_1f56_11eb_80d6_48df3707765d_bee3b72b_9387_11eb_80d7_48df3707765d.png,432fbe58_1f56_11eb_80d6_48df3707765d_bee3b72b_9387_11eb_80d7_48df3707765d.png,243633,image/png
B_td,https://products.rubezh.ru/upload/iblock/c36/jn29g7pvddk894cusdnrbrm4q2s0yaer/8f82d72d_d2f4_11e9_80cf_48df3707765d_4ed67b98_22b7_11ed_80df_48df3707765d.png,8f82d72d_d2f4_11e9_80cf_48df3707765d_4ed67b98_22b7_11ed_80df_48df3707765d.png,179403,image/png
B_td,https://products.rubezh.ru/upload/iblock/c65/5401vgp7sc5py56hm15e5hh24nsrx6mb/b9d4adc4_71e1_11ec_80db_48df3707765d_f50723d8_06c6_11ee_adb0_48df3776c5b8.png,b9d4adc4_71e1_11ec_80db_48df3707765d_f50723d8_06c6_11ee_adb0_48df3776c5b8.png,178907,image/png
B_td,https://products.rubezh.ru/upload/iblock/c87/gk526sju8bo0ew1wsbq03egujkgh4tb4/4782d6a2_8d5b_11ec_80dc_48df3707765d_91141b44_c49c_11ec_80dd_48df3707765d.png,4782d6a2_8d5b_11ec_80dc_48df3707765d_91141b44_c49c_11ec_80dd_48df3707765d.png,209135,image/png
B_td,https://products.rubezh.ru/upload/iblock/cf5/rvj40rf26rlzsnm9ejsdcovx3d4da9g3/211656fa_8b0d_11ec_80db_48df3707765d_0215a57b_c566_11ec_80dd_48df3707765d.png,211656fa_8b0d_11ec_80db_48df3707765d_0215a57b_c566_11ec_80dd_48df3707765d.png,199602,image/png
B_td,https://products.rubezh.ru/upload/iblock/d29/ye0e6zalw2i7fn4pn6vdyto0mm8oafby/432fbe55_1f56_11eb_80d6_48df3707765d_bee3b729_9387_11eb_80d7_48df3707765d.png,432fbe55_1f56_11eb_80d6_48df3707765d_bee3b729_9387_11eb_80d7_48df3707765d.png,239623,image/png
B_td,https://products.rubezh.ru/upload/iblock/d63/jiqpurfofzkyu7t9thh43xo5vdg4eldy/38dcc303_90e3_11ea_80d2_48df3707765d_50f84387_a9d7_11ec_80dd_48df3707765d.png,38dcc303_90e3_11ea_80d2_48df3707765d_50f84387_a9d7_11ec_80dd_48df3707765d.png,252061,image/png
